Produto,Preco,Site,Dia,Mes,Ano
mochila juvenil escolar casual trabalho viagem reforçada vix,"58,05",Americanas,2,7,2023
mochila escolar esportiva juvenil resistente convoy casual,"79,60",Americanas,2,7,2023
mochila escolar juvenil masculina com rodinhas crinkle,"99,90",Americanas,2,7,2023
mochila escolar feminina de gatinha cinza bolsa + estojo,"78,11",Americanas,2,7,2023
mini mochila crinkle escolar rebecca bonbon verde juvenil,"70,15",Americanas,2,7,2023
mochila costas escolar av gd 2 bolsos lisa sortidas juvenil,"39,90",Americanas,2,7,2023
mochila escolar esportiva nylon impermeável e dobrável desenho do tecido: -; cor: azul claro,"45,99",Americanas,2,7,2023
mochila escolar juvenil estampada bgp31884 verde,"51,05",Americanas,2,7,2023
mochila de rodinha preta mochila escolar juvenil reforçada,"65,00",Americanas,2,7,2023
mochila escolar juvenil costas reforçada blocks,"45,99",Americanas,2,7,2023
mochila feminina impermeável bolsa de costas mochila escolar,"47,50",Americanas,2,7,2023
mochila bolsa escolar trabalho viagem mala compton everbags,"78,90",Americanas,2,7,2023
mochila escolar incrível hulk heróis costa lancheira + estojo,"71,01",Americanas,2,7,2023
mochila escolar resistente bem espaçosa faculdade trabalho grande cabo de aço usb viagem masculinas/feminina,"79,80",Americanas,2,7,2023
mochila escolar infantil menino bolsa,"59,00",Americanas,2,7,2023
Borracha Fofa Formato Bichinhos Zoo BRW (Panda),"R$4
60",Amazon,2,7,2023
Mini Necessaria - Rbl Coza Rosa Blush,"R$6
47",Amazon,2,7,2023
Estojo Para Higiene Meu Malvado Plasútil Preto,"R$8
03",Amazon,2,7,2023
Mochila Saco Sport 15T Roxo - Sestini,"R$19
99",Amazon,2,7,2023
"CsgrFagr Mochila impermeável dobrável com cordão para esportes, fitness, leve, mochila de viagem para crianças escolares","R$20
42",Amazon,2,7,2023
"Coza Slim Necessária, Preto, 10.7 x 6.7 x 2 cm","R$23
29",Amazon,2,7,2023
"Pacific 7800102 Mochila Escolar, Multicolor","R$23
74",Amazon,2,7,2023
"Pacific 7800103 Mochila Escolar, Multicolor","R$23
74",Amazon,2,7,2023
Porta Talheres Marmita Trabalho Viagem Estojo Portatil Tampa Cor:Azul,"R$24
30",Amazon,2,7,2023
Bolsa Térmica infantil Bichinhos azul Lancheira para escola,"R$24
90",Amazon,2,7,2023
